"T, K","P, Pa",X,Y,T Err,P Err,X Err,Y Err
298.15,15195,1.0,1.0,+-0.002,+-25,,
298.15,17013,0.8031,0.7282,+-0.002,+-25,,
298.15,17701,0.7006,0.6209,+-0.002,+-25,,
298.15,18203,0.6041,0.5298,+-0.002,+-25,,
298.15,18678,0.5029,0.44,+-0.002,+-25,,
298.15,18135,0.6163,0.541,+-0.002,+-25,,
298.15,18625,0.5142,0.4498,+-0.002,+-25,,
298.15,19056,0.4106,0.3603,+-0.002,+-25,,
298.15,19386,0.3125,0.2761,+-0.002,+-25,,
298.15,19646,0.2099,0.1872,+-0.002,+-25,,
298.15,19896,0.1104,0.0994,+-0.002,+-25,,
298.15,20124,0.0,0.0,+-0.002,+-25,,
