"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
405.51,0.29,0.0,0.0,0.1,,+-0.005,+-0.005
405.21,0.358,0.0111,0.1111,0.1,,+-0.005,+-0.005
405.52,0.452,0.035,0.3077,0.1,,+-0.005,+-0.005
405.55,0.665,0.0942,0.5691,0.1,,+-0.005,+-0.005
405.76,1.158,0.1848,0.7839,0.1,,+-0.005,+-0.005
405.48,2.085,0.3085,0.878,0.1,,+-0.005,+-0.005
405.54,3.128,0.4113,0.9169,0.1,,+-0.005,+-0.005
405.53,4.226,0.5063,0.9348,0.1,,+-0.005,+-0.005
405.48,5.066,0.579,0.9557,0.1,,+-0.005,+-0.005
405.31,5.909,0.6375,0.968,0.1,,+-0.005,+-0.005
405.39,6.259,,0.9637,0.1,,+-0.005,+-0.005
405.67,7.686,,0.9743,0.1,,+-0.005,+-0.005
405.75,8.465,0.7919,,0.1,,+-0.005,+-0.005
405.3,10.066,0.9318,0.9897,0.1,,+-0.005,+-0.005
405.71,11.193,0.9931,0.9932,0.1,,+-0.005,+-0.005
405.51,11.301,1.0,1.0,0.1,,+-0.005,+-0.005
