"T, K","P, psi",X,Y,T Err,P Err,X Err,Y Err
344.3,1000,0.453,0.932,,,0.009,0.009
344.3,1101,0.507,0.937,,,0.009,0.009
344.3,1201,0.564,0.941,,,0.009,0.009
344.3,1300,0.625,0.94,,,0.009,0.009
344.3,1399,0.692,0.936,,,0.009,0.009
344.3,1430,0.712,0.934,,,0.009,0.009
344.3,1450,0.726,0.932,,,0.009,0.009
344.3,1475,0.745,0.929,,,0.009,0.009
344.3,1500,0.763,0.925,,,0.009,0.009
344.3,1520,0.779,0.924,,,0.009,0.009
344.3,1535,0.793,0.919,,,0.009,0.009
344.3,1550,0.805,0.916,,,0.009,0.009
344.3,1559,0.815,0.912,,,0.009,0.009
344.3,1571,0.828,0.907,,,0.009,0.009
344.3,1580,0.841,0.902,,,0.009,0.009
344.3,1584,0.846,0.898,,,0.009,0.009
344.3,1589,0.875,0.875,,,0.009,0.009
