"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
104.8,1,0.367,0.018,,,+-0.005,+-0.005
106.1,1,0.479,0.023,,,+-0.005,+-0.005
108.1,1,0.534,0.033,,,+-0.005,+-0.005
111.9,1,0.648,0.045,,,+-0.005,+-0.005
115.7,1,0.705,0.062,,,+-0.005,+-0.005
122.1,1,0.78,0.093,,,+-0.005,+-0.005
129.5,1,0.837,0.138,,,+-0.005,+-0.005
138.9,1,0.89,0.217,,,+-0.005,+-0.005
145.2,1,0.914,0.293,,,+-0.005,+-0.005
159.2,1,0.953,0.481,,,+-0.005,+-0.005
165.8,1,0.963,0.567,,,+-0.005,+-0.005
182.3,1,0.988,0.801,,,+-0.005,+-0.005
191.5,1,0.99,0.879,,,+-0.005,+-0.005
