"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
404.2,101.3,0.0,0.0,0.1,0.1,0.001,0.001
395.1,101.3,0.04,0.26,0.1,0.1,0.001,0.001
384.5,101.3,0.104,0.542,0.1,0.1,0.001,0.001
379.0,101.3,0.138,0.646,0.1,0.1,0.001,0.001
373.2,101.3,0.184,0.726,0.1,0.1,0.001,0.001
368.3,101.3,0.227,0.814,0.1,0.1,0.001,0.001
364.8,101.3,0.285,0.851,0.1,0.1,0.001,0.001
362.5,101.3,0.32,0.873,0.1,0.1,0.001,0.001
361.4,101.3,0.335,0.877,0.1,0.1,0.001,0.001
359.6,101.3,0.361,0.892,0.1,0.1,0.001,0.001
356.4,101.3,0.409,0.92,0.1,0.1,0.001,0.001
353.5,101.3,0.47,0.938,0.1,0.1,0.001,0.001
352.5,101.3,0.49,0.944,0.1,0.1,0.001,0.001
347.8,101.3,0.606,0.96,0.1,0.1,0.001,0.001
343.8,101.3,0.71,0.98,0.1,0.1,0.001,0.001
341.7,101.3,0.808,0.987,0.1,0.1,0.001,0.001
339.1,101.3,0.917,0.996,0.1,0.1,0.001,0.001
337.7,101.3,1.0,1.0,0.1,0.1,0.001,0.001
