"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
25,2.157,0.985,0.0798,+-0.05%,+-0.01,2%,2%
25,5.578,0.959,0.0315,+-0.05%,+-0.01,2%,2%
25,9.387,0.93,0.0203,+-0.05%,+-0.01,2%,2%
25,17.08,0.869,0.0122,+-0.05%,+-0.01,2%,2%
25,29.62,0.744,0.0083,+-0.05%,+-0.01,2%,2%
25,40.8,0.639,0.0072,+-0.05%,+-0.01,2%,2%
25,46.97,0.55,0.007,+-0.05%,+-0.01,2%,2%
25,53.88,0.39,0.0071,+-0.05%,+-0.01,2%,2%
25,55.77,0.338,0.0078,+-0.05%,+-0.01,2%,2%
25,57.77,0.19,0.0074,+-0.05%,+-0.01,2%,2%
25,59.05,0.0775,0.007,+-0.05%,+-0.01,2%,2%
25,59.46,0.0675,0.0074,+-0.05%,+-0.01,2%,2%
25,60.48,0.0427,0.0063,+-0.05%,+-0.01,2%,2%
