"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
318.17,64.89,0.0974,,+-0.03,+-0.07,,
318.16,74.422,0.098,,+-0.03,+-0.07,,
318.17,88.42,0.098,,+-0.03,+-0.07,,
318.17,96.42,0.0989,,+-0.03,+-0.07,,
318.17,104.0,0.0991,,+-0.03,+-0.07,,
308.15,87.659,0.2046,,+-0.03,+-0.07,,
308.14,94.694,0.2094,,+-0.03,+-0.07,,
308.16,104.0,0.2137,,+-0.03,+-0.07,,
298.18,86.763,0.2207,,+-0.03,+-0.07,,
298.18,95.591,0.2242,,+-0.03,+-0.07,,
298.17,104.2,0.2259,,+-0.03,+-0.07,,
290.14,89.18,0.2321,,+-0.03,+-0.07,,
318.16,57.108,0.0904,,+-0.03,+-0.07,,
