"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
36.4,20.11,0.0,0.0,+-0.05,+-0.01,,
36.45,20.11,0.022,0.021,+-0.05,+-0.01,,
36.45,20.11,0.051,0.047,+-0.05,+-0.01,,
36.5,20.11,0.078,0.077,+-0.05,+-0.01,,
36.5,20.11,0.106,0.107,+-0.05,+-0.01,,
36.5,20.11,0.157,0.156,+-0.05,+-0.01,,
36.45,20.11,0.19,0.192,+-0.05,+-0.01,,
36.4,20.11,0.24,0.249,+-0.05,+-0.01,,
36.3,20.11,0.289,0.305,+-0.05,+-0.01,,
36.0,20.11,0.407,0.436,+-0.05,+-0.01,,
35.7,20.11,0.526,0.559,+-0.05,+-0.01,,
35.2,20.11,0.651,0.687,+-0.05,+-0.01,,
34.8,20.11,0.735,0.769,+-0.05,+-0.01,,
34.5,20.11,0.801,0.834,+-0.05,+-0.01,,
34.2,20.11,0.846,0.875,+-0.05,+-0.01,,
34.0,20.11,0.893,0.915,+-0.05,+-0.01,,
33.9,20.11,0.907,0.927,+-0.05,+-0.01,,
33.75,20.11,0.939,0.952,+-0.05,+-0.01,,
33.75,20.11,0.941,0.956,+-0.05,+-0.01,,
33.55,20.11,0.972,0.979,+-0.05,+-0.01,,
33.45,20.11,0.99,0.993,+-0.05,+-0.01,,
33.4,20.11,1.0,1.0,+-0.05,+-0.01,,
