"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
75.0,10.0,0.0448,0.9999,0.02,+-0.007,,
75.0,20.0,0.0826,0.9999,0.02,+-0.007,,
75.0,30.0,0.1187,0.9999,0.02,+-0.007,,
75.0,40.0,0.1532,0.9999,0.02,+-0.007,,
75.0,50.0,0.1861,0.9999,0.02,+-0.007,,
75.0,60.0,0.2174,0.9999,0.02,+-0.007,,
75.0,70.0,0.247,0.9999,0.02,+-0.007,,
75.0,80.0,0.275,0.9999,0.02,+-0.007,,
75.0,90.0,0.3014,0.9999,0.02,+-0.007,,
75.0,100.0,0.3271,0.9999,0.02,+-0.007,,
75.0,120.0,0.3775,0.9999,0.02,+-0.007,,
75.0,140.0,0.4257,0.9999,0.02,+-0.007,,
75.0,160.0,0.472,0.996,0.02,+-0.007,,
75.0,180.0,0.5168,0.987,0.02,+-0.007,,
75.0,200.0,0.5605,0.983,0.02,+-0.007,,
75.0,220.0,0.6035,0.98,0.02,+-0.007,,
75.0,240.0,0.6463,0.9752,0.02,+-0.007,,
75.0,260.0,0.6891,0.9662,0.02,+-0.007,,
75.0,280.0,0.7324,0.9502,0.02,+-0.007,,
75.0,300.0,0.7765,0.927,0.02,+-0.007,,
75.0,310.0,0.8195,0.8947,0.02,+-0.007,,
75.0,313.0,0.86,0.86,0.02,+-0.007,,
