"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
100,436.53,0.0593,0.1196,+-0.015,,+-0.1%,+-0.1%
100,451.56,0.0992,0.178,+-0.015,,+-0.1%,+-0.1%
100,469.58,0.1537,0.2537,+-0.015,,+-0.1%,+-0.1%
100,489.8,0.247,0.3448,+-0.015,,+-0.1%,+-0.1%
100,498.76,0.3028,0.3898,+-0.015,,+-0.1%,+-0.1%
100,507.42,0.3613,0.4365,+-0.015,,+-0.1%,+-0.1%
100,518.5,0.4545,0.5087,+-0.015,,+-0.1%,+-0.1%
100,523.0,0.5035,0.539,+-0.015,,+-0.1%,+-0.1%
100,523.52,0.5102,0.5445,+-0.015,,+-0.1%,+-0.1%
100,526.49,0.6036,0.6079,+-0.015,,+-0.1%,+-0.1%
100,526.62,0.6362,0.6323,+-0.015,,+-0.1%,+-0.1%
100,526.3,0.7007,0.6803,+-0.015,,+-0.1%,+-0.1%
100,526.21,0.7077,0.6837,+-0.015,,+-0.1%,+-0.1%
100,525.4,0.7366,0.7109,+-0.015,,+-0.1%,+-0.1%
100,517.0,0.828,0.7928,+-0.015,,+-0.1%,+-0.1%
100,513.1,0.8655,0.8312,+-0.015,,+-0.1%,+-0.1%
100,510.01,0.8865,0.8522,+-0.015,,+-0.1%,+-0.1%
100,506.49,0.9058,0.8753,+-0.015,,+-0.1%,+-0.1%
100,492.02,0.9585,0.9403,+-0.015,,+-0.1%,+-0.1%
