"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
369.1,96.7,1.0,1.0,+-0.05,+-0.05,,
364.85,96.7,0.9351,0.8015,+-0.05,+-0.05,,
361.45,96.7,0.9106,0.6895,+-0.05,+-0.05,,
358.65,96.7,0.8852,0.5838,+-0.05,+-0.05,,
356.05,96.7,0.7255,0.4856,+-0.05,+-0.05,,
355.15,96.7,0.6254,0.4378,+-0.05,+-0.05,,
354.65,96.7,0.5452,0.4036,+-0.05,+-0.05,,
354.05,96.7,0.4603,0.3633,+-0.05,+-0.05,,
353.55,96.7,0.2804,0.2665,+-0.05,+-0.05,,
353.35,96.7,0.2521,0.2521,+-0.05,+-0.05,,
354.05,96.7,0.1903,0.1858,+-0.05,+-0.05,,
354.55,96.7,0.0904,0.1075,+-0.05,+-0.05,,
355.15,96.7,0.0451,0.0583,+-0.05,+-0.05,,
355.3,96.7,0.0,0.0,+-0.05,+-0.05,,
