"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
50.1,46.5,0.0,0.0,+-0.1,+-0.5,+-0.001,+-0.003
50.1,118.9,0.0878,0.6495,+-0.1,+-0.5,+-0.001,+-0.003
50.1,185.6,0.1769,0.7968,+-0.1,+-0.5,+-0.001,+-0.003
50.1,252.5,0.2664,0.8657,+-0.1,+-0.5,+-0.001,+-0.003
50.1,316.9,0.3707,0.9031,+-0.1,+-0.5,+-0.001,+-0.003
50.1,383.1,0.4807,0.9312,+-0.1,+-0.5,+-0.001,+-0.003
50.1,440.0,0.5829,0.9505,+-0.1,+-0.5,+-0.001,+-0.003
50.1,524.4,0.7354,0.9697,+-0.1,+-0.5,+-0.001,+-0.003
50.1,353.4,0.4354,0.9212,+-0.1,+-0.5,+-0.001,+-0.003
50.1,484.3,0.6662,0.9639,+-0.1,+-0.5,+-0.001,+-0.003
50.1,551.6,0.7854,0.976,+-0.1,+-0.5,+-0.001,+-0.003
50.1,619.8,0.8971,0.989,+-0.1,+-0.5,+-0.001,+-0.003
50.1,684.6,1.0,1.0,+-0.1,+-0.5,+-0.001,+-0.003
