"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
87.8,27.56,0.021,0.483,+- 0.05,+- 0.05,+- 0.04,+- 0.04
87.8,40.63,0.037,0.619,+- 0.05,+- 0.05,+- 0.04,+- 0.04
87.8,55.44,0.058,0.706,+- 0.05,+- 0.05,+- 0.04,+- 0.04
87.8,67.2,0.069,0.743,+- 0.05,+- 0.05,+- 0.04,+- 0.04
87.8,82.1,0.09,0.772,+- 0.05,+- 0.05,+- 0.04,+- 0.04
87.8,97.39,0.108,0.799,+- 0.05,+- 0.05,+- 0.04,+- 0.04
87.8,109.4,0.122,0.814,+- 0.05,+- 0.05,+- 0.04,+- 0.04
87.8,121.94,0.134,0.825,+- 0.05,+- 0.05,+- 0.04,+- 0.04
87.8,136.66,0.158,0.835,+- 0.05,+- 0.05,+- 0.04,+- 0.04
87.8,148.01,0.166,0.839,+- 0.05,+- 0.05,+- 0.04,+- 0.04
87.8,165.68,0.193,0.843,+- 0.05,+- 0.05,+- 0.04,+- 0.04
