"T, deg.C","P, Torr",X,Y,T Err,P Err,X Err,Y Err
70.0,442.8,0.051,0.014,+-0.1,+-0.5,+-0.002,+-0.010
70.0,436.6,0.072,0.02,+-0.1,+-0.5,+-0.002,+-0.010
70.0,437.0,0.075,0.014,+-0.1,+-0.5,+-0.002,+-0.010
70.0,429.3,0.097,0.023,+-0.1,+-0.5,+-0.002,+-0.010
70.0,426.7,0.121,0.023,+-0.1,+-0.5,+-0.002,+-0.010
70.0,424.9,0.139,0.025,+-0.1,+-0.5,+-0.002,+-0.010
70.0,418.0,0.155,0.029,+-0.1,+-0.5,+-0.002,+-0.010
70.0,419.4,0.169,0.026,+-0.1,+-0.5,+-0.002,+-0.010
70.0,402.9,0.261,0.028,+-0.1,+-0.5,+-0.002,+-0.010
70.0,398.4,0.273,0.047,+-0.1,+-0.5,+-0.002,+-0.010
70.0,403.2,0.285,0.032,+-0.1,+-0.5,+-0.002,+-0.010
70.0,400.1,0.317,0.031,+-0.1,+-0.5,+-0.002,+-0.010
70.0,384.5,0.342,0.044,+-0.1,+-0.5,+-0.002,+-0.010
70.0,377.6,0.42,0.045,+-0.1,+-0.5,+-0.002,+-0.010
70.0,383.7,0.428,0.038,+-0.1,+-0.5,+-0.002,+-0.010
70.0,347.8,0.591,0.057,+-0.1,+-0.5,+-0.002,+-0.010
70.0,343.9,0.641,0.061,+-0.1,+-0.5,+-0.002,+-0.010
