"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
110.95,767,0.05,0.253,0.1,,,
106.85,767,0.092,0.388,0.1,,,
106.4,767,0.097,0.402,0.1,,,
100.85,767,0.181,0.556,0.1,,,
96.65,767,0.291,0.66,0.1,,,
96.35,767,0.303,0.666,0.1,,,
94.0,767,0.417,0.724,0.1,,,
93.02,767,0.546,0.75,0.1,,,
93.0,767,0.55,0.753,0.1,,,
92.7,767,0.752,0.754,0.1,,,
92.7,767,0.901,0.754,0.1,,,
92.7,767,0.902,0.754,0.1,,,
92.8,767,0.98,0.76,0.1,,,
92.85,767,0.981,0.763,0.1,,,
95.4,767,0.991,0.839,0.1,,,
95.8,767,0.992,0.85,0.1,,,
