"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
393.15,10.0,0.9741,0.0267,+-0.03,+-0.1%,,
393.15,20.0,0.9464,0.0149,+-0.03,+-0.1%,,
393.15,30.0,0.9204,0.0112,+-0.03,+-0.1%,,
393.15,40.0,0.892,0.00947,+-0.03,+-0.1%,,
393.15,60.0,0.836,0.00835,+-0.03,+-0.1%,,
393.15,80.0,0.773,0.00921,+-0.03,+-0.1%,,
393.15,100.0,0.714,0.0115,+-0.03,+-0.1%,,
393.15,120.0,0.655,0.0143,+-0.03,+-0.1%,,
393.15,140.0,0.601,0.0187,+-0.03,+-0.1%,,
393.15,165.0,0.528,0.0277,+-0.03,+-0.1%,,
393.15,190.0,0.441,0.0424,+-0.03,+-0.1%,,
