"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
80.0,0.734,0.0,0.0,+-0.1,+-0.2%,0.001,0.001
80.0,0.924,0.025,0.166,+-0.1,+-0.2%,0.001,0.001
80.0,1.503,0.125,0.498,+-0.1,+-0.2%,0.001,0.001
80.0,2.406,0.293,0.699,+-0.1,+-0.2%,0.001,0.001
80.0,3.847,0.575,0.839,+-0.1,+-0.2%,0.001,0.001
80.0,5.268,0.823,0.925,+-0.1,+-0.2%,0.001,0.001
80.0,5.943,0.929,0.965,+-0.1,+-0.2%,0.001,0.001
80.0,6.336,0.986,0.991,+-0.1,+-0.2%,0.001,0.001
80.0,6.426,0.998,0.999,+-0.1,+-0.2%,0.001,0.001
80.0,6.447,1.0,1.0,+-0.1,+-0.2%,0.001,0.001
