"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
120.0,38.03,0.0,0.0,,,,
120.0,38.64,0.0062,0.0212,,,,
120.0,40.03,0.0186,0.065,,,,
120.0,42.58,0.0467,0.1424,,,,
120.0,45.64,0.0831,0.2301,,,,
120.0,49.59,0.1379,0.3272,,,,
120.0,53.55,0.2037,0.4199,,,,
120.0,57.39,0.2789,0.4949,,,,
120.0,61.05,0.3651,0.5648,,,,
120.0,61.93,0.4216,0.6055,,,,
120.0,66.46,0.6149,0.7131,,,,
120.0,68.05,0.7342,0.7762,,,,
120.0,68.87,0.833,0.8397,,,,
120.0,68.78,0.8921,0.8857,,,,
120.0,68.46,0.9458,0.9349,,,,
120.0,67.87,0.9785,0.9747,,,,
120.0,67.4,1.0,1.0,,,,
