"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
69.5,500,0.039,0.148,+-0.05,+-1,,
67.1,500,0.089,0.262,+-0.05,+-1,,
65.4,500,0.142,0.35,+-0.05,+-1,,
63.9,500,0.197,0.424,+-0.05,+-1,,
62.9,500,0.255,0.469,+-0.05,+-1,,
61.8,500,0.335,0.525,+-0.05,+-1,,
61.0,500,0.414,0.536,+-0.05,+-1,,
60.9,500,0.495,0.6,+-0.05,+-1,,
60.3,500,0.566,0.626,+-0.05,+-1,,
60.2,500,0.64,0.647,+-0.05,+-1,,
60.1,500,0.716,0.674,+-0.05,+-1,,
60.3,500,0.797,0.707,+-0.05,+-1,,
63.0,500,0.942,0.828,+-0.05,+-1,,
64.7,500,0.976,0.896,+-0.05,+-1,,
