"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
60.3,760,0.0,0.0,+-0.1,+-0.5,,
60.6,760,0.023,0.016,+-0.1,+-0.5,,
60.8,760,0.035,0.032,+-0.1,+-0.5,,
61.0,760,0.053,0.044,+-0.1,+-0.5,,
61.3,760,0.095,0.08,+-0.1,+-0.5,,
61.4,760,0.125,0.11,+-0.1,+-0.5,,
61.5,760,0.163,0.147,+-0.1,+-0.5,,
61.7,760,0.233,0.218,+-0.1,+-0.5,,
61.8,760,0.263,0.251,+-0.1,+-0.5,,
61.9,760,0.333,0.337,+-0.1,+-0.5,,
61.8,760,0.357,0.364,+-0.1,+-0.5,,
61.6,760,0.393,0.407,+-0.1,+-0.5,,
61.3,760,0.463,0.493,+-0.1,+-0.5,,
61.0,760,0.516,0.553,+-0.1,+-0.5,,
60.8,760,0.548,0.586,+-0.1,+-0.5,,
60.5,760,0.587,0.64,+-0.1,+-0.5,,
60.2,760,0.638,0.697,+-0.1,+-0.5,,
59.2,760,0.736,0.799,+-0.1,+-0.5,,
58.6,760,0.799,0.845,+-0.1,+-0.5,,
57.8,760,0.883,0.915,+-0.1,+-0.5,,
57.1,760,0.926,0.95,+-0.1,+-0.5,,
56.7,760,0.979,0.987,+-0.1,+-0.5,,
56.4,760,1.0,1.0,+-0.1,+-0.5,,
