"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
49.6,760,0.015,0.006,,+-0.2,,
50.5,760,0.061,0.028,,+-0.2,,
51.6,760,0.117,0.055,,+-0.2,,
52.6,760,0.166,0.082,,+-0.2,,
53.7,760,0.22,0.112,,+-0.2,,
55.0,760,0.281,0.147,,+-0.2,,
56.2,760,0.339,0.185,,+-0.2,,
57.6,760,0.4,0.228,,+-0.2,,
58.9,760,0.452,0.27,,+-0.2,,
59.2,760,0.464,0.277,,+-0.2,,
60.4,760,0.512,0.318,,+-0.2,,
62.0,760,0.572,0.372,,+-0.2,,
63.7,760,0.634,0.436,,+-0.2,,
65.7,760,0.699,0.508,,+-0.2,,
67.7,760,0.761,0.587,,+-0.2,,
70.0,760,0.829,0.683,,+-0.2,,
72.8,760,0.902,0.801,,+-0.2,,
75.7,760,0.974,0.944,,+-0.2,,
