"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-113.6,1.776,0.0,0.0,0.1%,0.5%,,
-113.6,30.0,0.0409,0.9355,0.1%,0.5%,,
-113.6,50.0,0.0692,0.9601,0.1%,0.5%,,
-113.6,75.0,0.1052,0.9718,0.1%,0.5%,,
-113.6,100.0,0.1379,0.9783,0.1%,0.5%,,
-113.6,200.0,0.2737,0.9874,0.1%,0.5%,,
-113.6,300.0,0.4207,0.9899,0.1%,0.5%,,
-113.6,400.0,0.5819,0.9913,0.1%,0.5%,,
-113.6,500.0,0.7529,0.9919,0.1%,0.5%,,
-113.6,575.0,0.8728,0.9924,0.1%,0.5%,,
-113.6,639.0,0.9578,0.9941,0.1%,0.5%,,
-113.6,666.0,0.9782,0.9953,0.1%,0.5%,,
-113.6,674.0,0.9844,0.9957,0.1%,0.5%,,
-113.6,688.5,0.9926,0.9926,0.1%,0.5%,,
