"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
0,5.757,1.0,,+-0.05,+-0.05,,
0,8.694,0.9707,,+-0.05,+-0.05,,
0,14.623,0.9139,,+-0.05,+-0.05,,
0,19.937,0.8621,,+-0.05,+-0.05,,
0,27.202,0.7873,,+-0.05,+-0.05,,
0,37.461,0.6859,,+-0.05,+-0.05,,
0,45.986,0.5878,,+-0.05,+-0.05,,
0,48.784,0.5702,,+-0.05,+-0.05,,
0,55.317,0.4859,,+-0.05,+-0.05,,
0,60.152,0.4511,,+-0.05,+-0.05,,
0,63.616,0.3994,,+-0.05,+-0.05,,
0,65.54,0.396,,+-0.05,+-0.05,,
0,73.35,0.2978,,+-0.05,+-0.05,,
0,83.107,0.1994,,+-0.05,+-0.05,,
0,92.164,0.1097,,+-0.05,+-0.05,,
0,97.933,0.053,,+-0.05,+-0.05,,
0,101.2,0.0209,,+-0.05,+-0.05,,
0,103.14,0.0,,+-0.05,+-0.05,,
