"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
303.15,2.985,0.0,0.0,,,,
303.15,5.572,0.082,0.535,,,,
303.15,7.71,0.169,0.649,,,,
303.15,8.381,0.224,0.692,,,,
303.15,9.321,0.299,0.744,,,,
303.15,9.416,0.302,0.746,,,,
303.15,9.87,0.325,0.761,,,,
303.15,11.1,0.404,0.808,,,,
303.15,11.658,0.471,0.844,,,,
303.15,12.811,0.513,0.865,,,,
303.15,13.444,0.572,0.889,,,,
303.15,14.82,0.654,0.917,,,,
303.15,15.701,0.706,0.93,,,,
303.15,15.91,0.721,0.934,,,,
303.15,16.12,0.734,0.936,,,,
303.15,16.68,0.761,0.942,,,,
303.15,16.84,0.777,0.946,,,,
303.15,17.17,0.808,0.951,,,,
303.15,18.19,0.858,0.961,,,,
303.15,18.32,0.878,0.965,,,,
303.15,18.795,1.0,1.0,,,,
