"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
298.15,2.262,0.0,0.0,,,,
298.15,7.033,0.079,0.707,,,,
298.15,8.765,0.104,0.769,,,,
298.15,10.539,0.137,0.817,,,,
298.15,12.022,0.17,0.843,,,,
298.15,12.939,0.185,0.852,,,,
298.15,13.859,0.243,0.869,,,,
298.15,14.36,0.308,0.877,,,,
298.15,14.449,0.309,0.877,,,,
298.15,14.827,0.346,0.88,,,,
298.15,15.291,0.423,0.885,,,,
298.15,15.768,0.513,0.896,,,,
298.15,16.435,0.571,0.904,,,,
298.15,16.691,0.593,0.908,,,,
298.15,17.161,0.655,0.918,,,,
298.15,17.611,0.7,0.925,,,,
298.15,18.085,0.75,0.932,,,,
298.15,19.193,0.878,0.955,,,,
298.15,19.468,0.937,0.971,,,,
298.15,20.065,1.0,1.0,,,,
