"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
0.60,31.06,0.064,,+-0.005,+-0.03,+-0.005,+-0.005
3.74,36.74,0.064,,+-0.005,+-0.03,+-0.005,+-0.005
8.49,46.95,0.064,,+-0.005,+-0.03,+-0.005,+-0.005
12.19,56.66,0.064,,+-0.005,+-0.03,+-0.005,+-0.005
16.23,68.81,0.064,,+-0.005,+-0.03,+-0.005,+-0.005
20.83,85.47,0.064,,+-0.005,+-0.03,+-0.005,+-0.005
25.42,105.1,0.064,,+-0.005,+-0.03,+-0.005,+-0.005
0.61,37.27,0.321,,+-0.005,+-0.03,+-0.005,+-0.005
3.49,43.24,0.321,,+-0.005,+-0.03,+-0.005,+-0.005
4.92,46.52,0.321,,+-0.005,+-0.03,+-0.005,+-0.005
6.24,49.76,0.321,,+-0.005,+-0.03,+-0.005,+-0.005
10.30,60.93,0.321,,+-0.005,+-0.03,+-0.005,+-0.005
13.31,70.45,0.321,,+-0.005,+-0.03,+-0.005,+-0.005
14.90,75.79,0.321,,+-0.005,+-0.03,+-0.005,+-0.005
17.98,87.46,0.321,,+-0.005,+-0.03,+-0.005,+-0.005
21.41,101.98,0.321,,+-0.005,+-0.03,+-0.005,+-0.005
0.52,37.14,0.349,,+-0.005,+-0.03,+-0.005,+-0.005
5.21,47.33,0.349,,+-0.005,+-0.03,+-0.005,+-0.005
10.43,61.51,0.349,,+-0.005,+-0.03,+-0.005,+-0.005
14.98,76.61,0.349,,+-0.005,+-0.03,+-0.005,+-0.005
17.27,85.31,0.349,,+-0.005,+-0.03,+-0.005,+-0.005
20.43,98.56,0.349,,+-0.005,+-0.03,+-0.005,+-0.005
24.99,120.86,0.349,,+-0.005,+-0.03,+-0.005,+-0.005
0..48,40.46,0.504,,+-0.005,+-0.03,+-0.005,+-0.005
4.35,49.51,0.504,,+-0.005,+-0.03,+-0.005,+-0.005
8.26,60.31,0.504,,+-0.005,+-0.03,+-0.005,+-0.005
12.43,73.98,0.504,,+-0.005,+-0.03,+-0.005,+-0.005
15.77,86.6,0.504,,+-0.005,+-0.03,+-0.005,+-0.005
19.46,102.69,0.504,,+-0.005,+-0.03,+-0.005,+-0.005
25.02,131.63,0.504,,+-0.005,+-0.03,+-0.005,+-0.005
0.37,42.8,0.736,,+-0.005,+-0.03,+-0.005,+-0.005
3.41,50.15,0.736,,+-0.005,+-0.03,+-0.005,+-0.005
8.32,64.24,0.736,,+-0.005,+-0.03,+-0.005,+-0.005
12.53,79.04,0.736,,+-0.005,+-0.03,+-0.005,+-0.005
16.53,95.63,0.736,,+-0.005,+-0.03,+-0.005,+-0.005
20.67,115.52,0.736,,+-0.005,+-0.03,+-0.005,+-0.005
24.93,139.52,0.736,,+-0.005,+-0.03,+-0.005,+-0.005
0.57,44.81,0.850,,+-0.005,+-0.03,+-0.005,+-0.005
4.18,54.04,0.850,,+-0.005,+-0.03,+-0.005,+-0.005
7.93,65.39,0.850,,+-0.005,+-0.03,+-0.005,+-0.005
13.06,84.25,0.850,,+-0.005,+-0.03,+-0.005,+-0.005
16.13,97.13,0.850,,+-0.005,+-0.03,+-0.005,+-0.005
20.51,118.82,0.850,,+-0.005,+-0.03,+-0.005,+-0.005
0.43,46.41,1.000,,+-0.005,+-0.03,+-0.005,+-0.005
1.64,49.48,1.000,,+-0.005,+-0.03,+-0.005,+-0.005
3.53,54.68,1.000,,+-0.005,+-0.03,+-0.005,+-0.005
5.65,60.77,1.000,,+-0.005,+-0.03,+-0.005,+-0.005
8.05,68.79,1.000,,+-0.005,+-0.03,+-0.005,+-0.005
9.93,75.43,1.000,,+-0.005,+-0.03,+-0.005,+-0.005
12.56,85.77,1.000,,+-0.005,+-0.03,+-0.005,+-0.005
14.93,96.0,1.000,,+-0.005,+-0.03,+-0.005,+-0.005
17.53,108.44,1.000,,+-0.005,+-0.03,+-0.005,+-0.005
19.96,121.18,1.000,,+-0.005,+-0.03,+-0.005,+-0.005
22.33,134.56,1.000,,+-0.005,+-0.03,+-0.005,+-0.005
25.17,152.53,1.000.,,+-0.005,+-0.03,+-0.005,+-0.005
