"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
339.37,12.41,0.023,0.342,0.05,,0.005,0.005
339.18,18.82,0.024,0.524,0.05,,0.005,0.005
339.26,26.17,0.038,0.632,0.05,,0.005,0.005
339.43,34.35,0.051,0.7,0.05,,0.005,0.005
339.36,41.66,0.068,0.738,0.05,,0.005,0.005
339.41,56.16,0.092,0.781,0.05,,0.005,0.005
339.41,68.26,0.117,0.8,0.05,,0.005,0.005
339.33,89.18,0.165,0.822,0.05,,0.005,0.005
339.39,103.42,0.18,0.826,0.05,,0.005,0.005
339.57,120.52,0.211,0.824,0.05,,0.005,0.005
339.35,135.96,0.249,0.824,0.05,,0.005,0.005
339.37,152.17,0.282,0.815,0.05,,0.005,0.005
339.5,168.85,0.315,0.801,0.05,,0.005,0.005
339.48,182.64,0.352,0.792,0.05,,0.005,0.005
339.37,193.88,0.381,0.778,0.05,,0.005,0.005
339.35,199.95,0.4,0.761,0.05,,0.005,0.005
339.35,206.29,0.424,0.751,0.05,,0.005,0.005
339.15,215.18,0.459,0.726,0.05,,0.005,0.005
339.35,221.05,0.505,0.688,0.05,,0.005,0.005
