"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
225,0.0782,0.0006,0.0045,0.015,0.0005,,
225,0.0993,0.044,0.273,0.015,0.0005,,
225,0.1001,0.0447,0.2799,0.015,0.0005,,
225,0.1218,0.0906,0.4404,0.015,0.0005,,
225,0.1227,0.0936,0.4501,0.015,0.0005,,
225,0.1239,0.095,0.4623,0.015,0.0005,,
225,0.1911,0.2305,0.6865,0.015,0.0005,,
225,0.1928,0.2357,0.6882,0.015,0.0005,,
225,0.213,0.2844,0.737,0.015,0.0005,,
225,0.2216,0.2943,0.7694,0.015,0.0005,,
225,0.2235,0.2969,0.7704,0.015,0.0005,,
225,0.2334,0.3305,0.7871,0.015,0.0005,,
225,0.2786,0.4294,0.8394,0.015,0.0005,,
225,0.2799,0.4213,0.8439,0.015,0.0005,,
225,0.3351,0.5339,0.8908,0.015,0.0005,,
225,0.3363,0.5314,0.892,0.015,0.0005,,
225,0.3586,0.5752,0.9096,0.015,0.0005,,
225,0.36,0.5762,0.9055,0.015,0.0005,,
225,0.4688,0.7766,0.959,0.015,0.0005,,
225,0.4703,0.7822,0.9613,0.015,0.0005,,
