"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
122,7.31,0.006,0.191,0.1,0.01,,
122,16.48,0.05,0.673,0.1,0.01,,
122,17.28,0.055,0.668,0.1,0.01,,
122,19.93,0.069,0.721,0.1,0.01,,
122,22.73,0.089,0.765,0.1,0.01,,
122,23.12,0.093,0.769,0.1,0.01,,
122,27.11,0.119,0.836,0.1,0.01,,
122,32.69,0.144,0.821,0.1,0.01,,
122,42.53,0.215,0.881,0.1,0.01,,
122,45.18,0.225,0.889,0.1,0.01,,
122,49.17,0.235,0.898,0.1,0.01,,
122,70.43,0.386,0.941,0.1,0.01,,
122,83.72,0.467,0.959,0.1,0.01,,
122,106.58,0.586,0.976,0.1,0.01,,
122,131.83,0.684,0.985,0.1,0.01,,
122,149.64,0.753,0.992,0.1,0.01,,
