"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
344.26,8.32,0.0,0.0,0.025,+-0.03,,
344.26,9.33,0.0091,0.0842,0.025,+-0.03,,
344.26,12.77,0.0391,0.298,0.025,+-0.03,,
344.26,13.42,0.0446,0.34,0.025,+-0.03,,
344.26,16.38,0.0699,0.437,0.025,+-0.03,,
344.26,17.9,0.0822,0.477,0.025,+-0.03,,
344.26,20.8,0.1083,0.5367,0.025,+-0.03,,
344.26,25.83,0.152,0.612,0.025,+-0.03,,
344.26,27.4,0.166,0.629,0.025,+-0.03,,
344.26,31.07,0.198,0.663,0.025,+-0.03,,
344.26,40.56,0.282,0.721,0.025,+-0.03,,
344.26,47.93,0.351,0.758,0.025,+-0.03,,
344.26,57.92,0.443,0.78,0.025,+-0.03,,
344.26,62.3,0.483,0.784,0.025,+-0.03,,
344.26,67.53,0.535,0.791,0.025,+-0.03,,
344.26,72.92,0.59,0.792,0.025,+-0.03,,
