"T, K","P, psi",X,Y,T Err,P Err,X Err,Y Err
383.15,33.859,0.9528,0.589,,,,
383.15,33.807,0.9528,0.589,,,,
383.15,35.003,0.9492,0.569,,,,
383.15,35.008,0.9492,0.569,,,,
383.15,40.977,0.9301,0.475,,,,
383.15,41.135,0.9301,0.475,,,,
383.15,49.727,0.905,0.382,,,,
383.15,49.64,0.905,0.382,,,,
383.15,52.489,0.8984,0.362,,,,
383.15,52.257,0.8984,0.362,,,,
383.15,70.333,0.8538,0.256,,,,
383.15,70.169,0.8538,0.256,,,,
383.15,70.457,0.8538,0.256,,,,
383.15,70.578,0.854,0.256,,,,
383.15,71.072,0.854,0.256,,,,
383.15,70.507,0.854,0.256,,,,
383.15,75.415,0.8434,0.237,,,,
383.15,75.995,0.8434,0.237,,,,
383.15,75.862,0.8434,0.237,,,,
383.15,95.405,0.8043,0.18,,,,
383.15,95.242,0.8043,0.18,,,,
383.15,97.031,0.8022,0.178,,,,
383.15,96.976,0.8022,0.178,,,,
383.15,96.656,0.8027,0.179,,,,
383.15,96.617,0.8027,0.179,,,,
383.15,132.339,0.7461,0.124,,,,
383.15,168.502,0.699,0.0939,,,,
383.15,168.371,0.699,0.0939,,,,
383.15,383.037,0.5069,0.0354,,,,
383.15,384.921,0.507,0.0354,,,,
383.15,260.233,0.6064,0.0568,,,,
383.15,269.881,0.5985,0.0546,,,,
383.15,269.052,0.5974,0.0543,,,,
