"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
340,200,0.0029,0.3981,0.03,1,0.002,0.002
340,400,0.0094,0.6828,0.03,1,0.002,0.002
340,600,0.0155,0.7772,0.03,1,0.002,0.002
340,800,0.0214,0.8224,0.03,1,0.002,0.002
340,1000,0.0273,0.8466,0.03,1,0.002,0.002
340,1250,0.0351,0.8646,0.03,1,0.002,0.002
340,1500,0.0435,0.8742,0.03,1,0.002,0.002
340,1750,0.052,0.8788,0.03,1,0.002,0.002
340,2000,0.061,0.8797,0.03,1,0.002,0.002
340,2250,0.0705,0.8779,0.03,1,0.002,0.002
340,2500,0.0805,0.874,0.03,1,0.002,0.002
340,2750,0.091,0.8681,0.03,1,0.002,0.002
340,3000,0.1024,0.8606,0.03,1,0.002,0.002
340,3500,,0.8436,0.03,1,0.002,0.002
340,4000,,0.8248,0.03,1,0.002,0.002
340,4500,,0.8061,0.03,1,0.002,0.002
340,5000,,0.7864,0.03,1,0.002,0.002
