"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
79.2,760,0.025,0.095,+-0.02,+-2,+-0.5%,+-0.5%
77.95,760,0.04,0.135,+-0.02,+-2,+-0.5%,+-0.5%
76.77,760,0.055,0.175,+-0.02,+-2,+-0.5%,+-0.5%
75.12,760,0.097,0.265,+-0.02,+-2,+-0.5%,+-0.5%
73.12,760,0.14,0.33,+-0.02,+-2,+-0.5%,+-0.5%
72.07,760,0.17,0.375,+-0.02,+-2,+-0.5%,+-0.5%
70.96,760,0.2,0.42,+-0.02,+-2,+-0.5%,+-0.5%
68.85,760,0.247,0.455,+-0.02,+-2,+-0.5%,+-0.5%
68.39,760,0.289,0.505,+-0.02,+-2,+-0.5%,+-0.5%
66.0,760,0.415,0.595,+-0.02,+-2,+-0.5%,+-0.5%
65.35,760,0.47,0.625,+-0.02,+-2,+-0.5%,+-0.5%
64.75,760,0.545,0.655,+-0.02,+-2,+-0.5%,+-0.5%
64.34,760,0.63,0.715,+-0.02,+-2,+-0.5%,+-0.5%
64.03,760,0.69,0.745,+-0.02,+-2,+-0.5%,+-0.5%
63.8,760,0.745,0.789,+-0.02,+-2,+-0.5%,+-0.5%
63.77,760,0.825,0.825,+-0.02,+-2,+-0.5%,+-0.5%
63.76,760,0.86,0.86,+-0.02,+-2,+-0.5%,+-0.5%
63.87,760,0.9,0.88,+-0.02,+-2,+-0.5%,+-0.5%
64.05,760,0.93,0.915,+-0.02,+-2,+-0.5%,+-0.5%
64.18,760,0.95,0.93,+-0.02,+-2,+-0.5%,+-0.5%
64.4,760,0.97,0.955,+-0.02,+-2,+-0.5%,+-0.5%
