"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
333.15,0.415,0.4006,,+-0.02,+-0.5%,,
341.64,0.505,0.4006,,+-0.02,+-0.5%,,
352.76,0.635,0.4006,,+-0.02,+-0.5%,,
363.02,0.77,0.4006,,+-0.02,+-0.5%,,
373.22,0.93,0.4006,,+-0.02,+-0.5%,,
383.27,1.1,0.4006,,+-0.02,+-0.5%,,
393.25,1.285,0.4006,,+-0.02,+-0.5%,,
403.18,1.49,0.4006,,+-0.02,+-0.5%,,
413.02,1.71,0.4006,,+-0.02,+-0.5%,,
422.91,1.945,0.4006,,+-0.02,+-0.5%,,
432.79,2.195,0.4006,,+-0.02,+-0.5%,,
442.62,2.455,0.4006,,+-0.02,+-0.5%,,
455.24,2.81,0.4006,,+-0.02,+-0.5%,,
