"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
66.5,400,0.044,0.07,+-0.05,+-0.5,,
66.4,400,0.062,0.089,+-0.05,+-0.5,,
66.1,400,0.093,0.114,+-0.05,+-0.5,,
65.7,400,0.11,0.131,+-0.05,+-0.5,,
65.5,400,0.128,0.14,+-0.05,+-0.5,,
65.4,400,0.16,0.16,+-0.05,+-0.5,,
65.6,400,0.212,0.177,+-0.05,+-0.5,,
65.6,400,0.209,0.184,+-0.05,+-0.5,,
65.7,400,0.32,0.209,+-0.05,+-0.5,,
65.8,400,0.34,0.218,+-0.05,+-0.5,,
67.2,400,0.538,0.26,+-0.05,+-0.5,,
66.9,400,0.531,0.26,+-0.05,+-0.5,,
70.6,400,0.769,0.31,+-0.05,+-0.5,,
68.7,400,0.709,0.286,+-0.05,+-0.5,,
73.5,400,0.878,0.369,+-0.05,+-0.5,,
84.0,400,0.956,0.505,+-0.05,+-0.5,,
80.6,400,0.945,0.46,+-0.05,+-0.5,,
90.9,400,0.979,0.634,+-0.05,+-0.5,,
97.64,400,0.992,0.802,+-0.05,+-0.5,,
