"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
96.8,28,0.0,0.0,,,,
93.2,28,0.011,0.123,,,,
91.7,28,0.013,0.157,,,,
90.7,28,0.017,0.195,,,,
87.4,28,0.027,0.28,,,,
84.4,28,0.034,0.358,,,,
81.4,28,0.043,0.43,,,,
803.5,28,0.046,0.445,,,,
78.6,28,0.054,0.49,,,,
75.4,28,0.063,0.548,,,,
68.2,28,0.405,0.673,,,,
66.8,28,0.127,0.698,,,,
65.6,28,0.142,0.715,,,,
63.4,28,0.162,0.748,,,,
62.1,28,0.185,0.761,,,,
59.8,28,0.221,0.791,,,,
57.6,28,0.263,0.819,,,,
55.4,28,0.317,0.851,,,,
53.8,28,0.382,0.868,,,,
52.8,28,0.445,0.881,,,,
51.6,28,0.525,0.886,,,,
50.6,28,0.585,0.901,,,,
50.4,28,0.6,0.907,,,,
48.9,28,0.687,0.922,,,,
48.1,28,0.778,0.935,,,,
47.1,28,0.865,0.953,,,,
46.8,28,0.925,0.967,,,,
46.5,28,0.962,0.979,,,,
45.9,28,0.994,0.996,,,,
44.6,28,1.0,1.0,,,,
