"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
356.941,101.325,0.0135,0.077,+- 0.02,+- 0.070,+- 0.001,+- 0.001
354.042,101.325,0.0328,0.1705,+- 0.02,+- 0.070,+- 0.001,+- 0.001
348.608,101.325,0.0799,0.33,+- 0.02,+- 0.070,+- 0.001,+- 0.001
343.048,101.325,0.1593,0.4808,+- 0.02,+- 0.070,+- 0.001,+- 0.001
338.631,101.325,0.308,0.603,+- 0.02,+- 0.070,+- 0.001,+- 0.001
336.784,101.325,0.4618,0.6531,+- 0.02,+- 0.070,+- 0.001,+- 0.001
336.711,101.325,0.4701,0.6689,+- 0.02,+- 0.070,+- 0.001,+- 0.001
336.264,101.325,0.531,0.6824,+- 0.02,+- 0.070,+- 0.001,+- 0.001
335.617,101.325,0.6591,0.7299,+- 0.02,+- 0.070,+- 0.001,+- 0.001
335.412,101.325,0.7372,0.753,+- 0.02,+- 0.070,+- 0.001,+- 0.001
335.386,101.325,0.7502,0.7602,+- 0.02,+- 0.070,+- 0.001,+- 0.001
335.37,101.325,0.7674,0.7674,+- 0.02,+- 0.070,+- 0.001,+- 0.001
335.396,101.325,0.801,0.7861,+- 0.02,+- 0.070,+- 0.001,+- 0.001
335.471,101.325,0.8385,0.8074,+- 0.02,+- 0.070,+- 0.001,+- 0.001
335.545,101.325,0.8561,0.8192,+- 0.02,+- 0.070,+- 0.001,+- 0.001
335.63,101.325,0.8732,0.8306,+- 0.02,+- 0.070,+- 0.001,+- 0.001
335.834,101.325,0.8965,0.8515,+- 0.02,+- 0.070,+- 0.001,+- 0.001
336.076,101.325,0.9248,0.8807,+- 0.02,+- 0.070,+- 0.001,+- 0.001
336.558,101.325,0.9566,0.9206,+- 0.02,+- 0.070,+- 0.001,+- 0.001
336.769,101.325,0.9667,0.936,+- 0.02,+- 0.070,+- 0.001,+- 0.001
337.046,101.325,0.9788,0.9571,+- 0.02,+- 0.070,+- 0.001,+- 0.001
337.239,101.325,0.9861,0.9707,+- 0.02,+- 0.070,+- 0.001,+- 0.001
337.413,101.325,0.9925,0.9836,+- 0.02,+- 0.070,+- 0.001,+- 0.001
337.56,101.325,0.9975,9943.0,+- 0.02,+- 0.070,+- 0.001,+- 0.001
