"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
146.4,26.7,0.0,,+-0.1,+-0.13,,
145.8,26.7,0.0512,,+-0.1,+-0.13,,
145.3,26.7,0.1013,,+-0.1,+-0.13,,
145.1,26.7,0.1645,,+-0.1,+-0.13,,
144.4,26.7,0.2,,+-0.1,+-0.13,,
144.2,26.7,0.2341,,+-0.1,+-0.13,,
144.1,26.7,0.2877,,+-0.1,+-0.13,,
143.4,26.7,0.3521,,+-0.1,+-0.13,,
142.7,26.7,0.425,,+-0.1,+-0.13,,
142.2,26.7,0.4744,,+-0.1,+-0.13,,
141.9,26.7,0.519,,+-0.1,+-0.13,,
141.1,26.7,0.6151,,+-0.1,+-0.13,,
141.0,26.7,0.6713,,+-0.1,+-0.13,,
140.9,26.7,0.7008,,+-0.1,+-0.13,,
140.6,26.7,0.7196,,+-0.1,+-0.13,,
140.3,26.7,0.7783,,+-0.1,+-0.13,,
140.1,26.7,0.8247,,+-0.1,+-0.13,,
139.9,26.7,0.876,,+-0.1,+-0.13,,
139.7,26.7,0.9233,,+-0.1,+-0.13,,
139.5,26.7,0.9475,,+-0.1,+-0.13,,
139.0,26.7,1.0,,+-0.1,+-0.13,,
