"T, deg.C","P, bar",X,Y,T Err,P Err,X Err,Y Err
100,82,0.021,0.147,+-0.15,1.6,,
100,100,0.039,0.231,+-0.15,1.6,,
100,150,0.099,0.311,+-0.15,1.6,,
