"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
150,106.46,0.0,0.0,0.01,0.1%,0.0002,0.0002
150,108.61,0.1,0.1143,0.01,0.1%,0.0002,0.0002
150,110.73,0.2,0.2247,0.01,0.1%,0.0002,0.0002
150,112.82,0.3,0.3313,0.01,0.1%,0.0002,0.0002
150,114.87,0.4,0.4344,0.01,0.1%,0.0002,0.0002
150,116.88,0.5,0.5344,0.01,0.1%,0.0002,0.0002
150,118.84,0.6,0.6315,0.01,0.1%,0.0002,0.0002
150,120.74,0.7,0.7262,0.01,0.1%,0.0002,0.0002
150,122.58,0.8,0.8189,0.01,0.1%,0.0002,0.0002
150,124.36,0.9,0.91,0.01,0.1%,0.0002,0.0002
150,126.07,1.0,1.0,0.01,0.1%,0.0002,0.0002
