"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
379.0,101.3,0.0143,0.0865,+-0.01,+-0.1,,
377.27,101.3,0.0243,0.1494,+-0.01,+-0.1,,
374.46,101.3,0.0406,0.2458,+-0.01,+-0.1,,
369.89,101.3,0.0762,0.3822,+-0.01,+-0.1,,
359.19,101.3,0.2046,0.6744,+-0.01,+-0.1,,
354.24,101.3,0.2765,0.7309,+-0.01,+-0.1,,
350.88,101.3,0.3648,0.7948,+-0.01,+-0.1,,
345.1,101.3,0.6302,0.8747,+-0.01,+-0.1,,
343.46,101.3,0.737,0.8971,+-0.01,+-0.1,,
342.63,101.3,0.8296,0.9179,+-0.01,+-0.1,,
342.12,101.3,0.8956,0.937,+-0.01,+-0.1,,
341.63,101.3,0.9415,0.9561,+-0.01,+-0.1,,
