"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
51.3,760.0,0.009,0.19,+-0.1,+-0.02,+-0.005,+-0.005
48.9,759.0,0.017,0.266,+-0.1,+-0.02,+-0.005,+-0.005
45.8,760.1,0.051,0.342,+-0.1,+-0.02,+-0.005,+-0.005
44.6,760.1,0.153,0.384,+-0.1,+-0.02,+-0.005,+-0.005
44.6,760.1,0.274,0.391,+-0.1,+-0.02,+-0.005,+-0.005
44.5,760.0,0.39,0.393,+-0.1,+-0.02,+-0.005,+-0.005
44.5,760.0,0.415,0.392,+-0.1,+-0.02,+-0.005,+-0.005
44.5,760.1,0.493,0.392,+-0.1,+-0.02,+-0.005,+-0.005
44.5,760.0,0.704,0.406,+-0.1,+-0.02,+-0.005,+-0.005
44.6,759.9,0.784,0.421,+-0.1,+-0.02,+-0.005,+-0.005
45.4,760.1,0.851,0.437,+-0.1,+-0.02,+-0.005,+-0.005
46.6,760.1,0.904,0.464,+-0.1,+-0.02,+-0.005,+-0.005
51.4,760.0,0.955,0.58,+-0.1,+-0.02,+-0.005,+-0.005
55.3,760.1,0.976,0.703,+-0.1,+-0.02,+-0.005,+-0.005
60.4,760.1,0.991,0.861,+-0.1,+-0.02,+-0.005,+-0.005
