"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
157.61,1250,0.048,,+-0.03,+-1,+-0.001,+-0.001
157.47,1250,0.085,,+-0.03,+-1,+-0.001,+-0.001
157.44,1250,0.124,,+-0.03,+-1,+-0.001,+-0.001
157.07,1250,0.221,,+-0.03,+-1,+-0.001,+-0.001
156.88,1250,0.276,,+-0.03,+-1,+-0.001,+-0.001
156.82,1250,0.341,,+-0.03,+-1,+-0.001,+-0.001
156.6,1250,0.408,,+-0.03,+-1,+-0.001,+-0.001
156.43,1250,0.5,,+-0.03,+-1,+-0.001,+-0.001
156.18,1250,0.548,,+-0.03,+-1,+-0.001,+-0.001
156.03,1250,0.633,,+-0.03,+-1,+-0.001,+-0.001
155.71,1250,0.783,,+-0.03,+-1,+-0.001,+-0.001
155.63,1250,0.894,,+-0.03,+-1,+-0.001,+-0.001
155.52,1250,0.945,,+-0.03,+-1,+-0.001,+-0.001
