"T, K","P, atm",X,Y,T Err,P Err,X Err,Y Err
100.0,3.89,0.1389,0.278,+- 0.02,0.1%,,
100.0,5.0,0.3792,0.5771,+- 0.02,0.1%,,
100.0,5.36,0.4613,0.6518,+- 0.02,0.1%,,
100.0,5.65,0.5287,0.7066,+- 0.02,0.1%,,
100.0,6.28,0.6721,0.8083,+- 0.02,0.1%,,
100.0,6.6,0.7458,0.8554,+- 0.02,0.1%,,
100.0,7.27,0.8999,0.9469,+- 0.02,0.1%,,
