"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
60,55.57,0.0,0.0,,,,0.01
60,56.46,0.02,0.033,,,,0.01
60,57.97,0.058,0.094,,,,0.01
60,60.15,0.114,0.176,,,,0.01
60,62.67,0.182,0.266,,,,0.01
60,65.44,0.258,0.359,,,,0.01
60,68.25,0.339,0.448,,,,0.01
60,71.0,0.426,0.533,,,,0.01
60,73.37,0.497,0.603,,,,0.01
60,73.63,0.503,0.608,,,,0.01
60,76.16,0.586,0.683,,,,0.01
60,78.75,0.675,0.752,,,,0.01
60,81.17,0.755,0.817,,,,0.01
60,83.31,0.827,0.873,,,,0.01
60,85.15,0.892,0.921,,,,0.01
60,86.71,0.944,0.959,,,,0.01
60,87.77,0.981,0.995,,,,0.01
60,88.31,1.0,1.0,,,,0.01
