"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
353.22,142.1,0.0,0.0,0.02,+-1%,+-1%,+-1%
353.22,168.5,0.103,0.219,0.02,+-1%,+-1%,+-1%
353.22,178.2,0.198,0.294,0.02,+-1%,+-1%,+-1%
353.22,179.9,0.304,0.342,0.02,+-1%,+-1%,+-1%
353.22,178.7,0.413,0.382,0.02,+-1%,+-1%,+-1%
353.22,178.0,0.516,0.421,0.02,+-1%,+-1%,+-1%
353.22,174.3,0.618,0.463,0.02,+-1%,+-1%,+-1%
353.22,166.4,0.709,0.516,0.02,+-1%,+-1%,+-1%
353.22,155.3,0.813,0.6,0.02,+-1%,+-1%,+-1%
353.22,136.8,0.906,0.734,0.02,+-1%,+-1%,+-1%
353.22,109.0,1.0,1.0,0.02,+-1%,+-1%,+-1%
