"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
95.0,19.37,0.0,0.0,,,,
95.0,22.38,0.0094,0.1407,,,,
95.0,29.15,0.0332,0.358,,,,
95.0,35.23,0.0564,0.4808,,,,
95.0,44.32,0.0959,0.6035,,,,
95.0,56.07,0.1618,0.7041,,,,
95.0,64.95,0.2301,0.7565,,,,
95.0,72.99,0.3153,0.797,,,,
95.0,76.94,0.3732,0.8179,,,,
95.0,82.41,0.479,0.8388,,,,
95.0,86.92,0.6122,0.8608,,,,
95.0,90.9,0.7652,0.8861,,,,
95.0,92.18,0.8389,0.9023,,,,
95.0,93.02,0.9126,0.9256,,,,
95.0,93.08,0.9293,0.9335,,,,
95.0,93.05,0.9452,0.9431,,,,
95.0,92.98,0.9629,0.9568,,,,
95.0,92.88,0.9661,0.96,,,,
95.0,92.31,0.9856,0.9811,,,,
95.0,92.19,1.0,1.0,,,,
