"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
159.24,1,0.0,0.0,+-0.05,,+-0.005,+-0.005
158.38,1,0.005,0.028,+-0.05,,+-0.005,+-0.005
156.58,1,0.014,0.078,+-0.05,,+-0.005,+-0.005
150.36,1,0.05,0.241,+-0.05,,+-0.005,+-0.005
138.33,1,0.126,0.496,+-0.05,,+-0.005,+-0.005
122.69,1,0.248,0.726,+-0.05,,+-0.005,+-0.005
96.5,1,0.604,0.938,+-0.05,,+-0.005,+-0.005
93.29,1,0.668,0.955,+-0.05,,+-0.005,+-0.005
85.61,1,0.846,0.984,+-0.05,,+-0.005,+-0.005
82.02,1,0.944,0.995,+-0.05,,+-0.005,+-0.005
81.23,1,0.965,0.997,+-0.05,,+-0.005,+-0.005
80.08,1,1.0,1.0,+-0.05,,+-0.005,+-0.005
