"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
300,346.2,0.0,0.0,+-0.1,+-0.7,+-0.001,+-0.001
300,353.0,0.044,0.058,+-0.1,+-0.7,+-0.001,+-0.001
300,363.4,0.132,0.178,+-0.1,+-0.7,+-0.001,+-0.001
300,397.2,0.267,0.375,+-0.1,+-0.7,+-0.001,+-0.001
300,406.0,0.316,0.434,+-0.1,+-0.7,+-0.001,+-0.001
300,421.4,0.366,0.506,+-0.1,+-0.7,+-0.001,+-0.001
300,429.4,0.387,0.525,+-0.1,+-0.7,+-0.001,+-0.001
300,494.6,0.547,0.708,+-0.1,+-0.7,+-0.001,+-0.001
300,517.4,0.59,0.755,+-0.1,+-0.7,+-0.001,+-0.001
300,538.8,0.633,0.795,+-0.1,+-0.7,+-0.001,+-0.001
300,581.2,0.703,0.843,+-0.1,+-0.7,+-0.001,+-0.001
300,606.8,0.743,0.882,+-0.1,+-0.7,+-0.001,+-0.001
300,640.8,0.802,0.913,+-0.1,+-0.7,+-0.001,+-0.001
300,738.4,0.962,0.982,+-0.1,+-3.5,+-0.001,+-0.001
300,738.4,0.962,0.981,+-0.1,+-3.5,+-0.001,+-0.001
300,771.5,1.0,1.0,+-0.1,+-3.5,+-0.001,+-0.001
