"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
323.9,234.5,0.515,,+-0.7,+-1,,
318.0,205.0,0.515,,+-0.7,+-1,,
312.0,175.0,0.515,,+-0.7,+-1,,
305.5,145.0,0.515,,+-0.7,+-1,,
299.0,115.0,0.515,,+-0.7,+-1,,
288.4,70.0,0.515,,+-0.7,+-1,,
281.2,40.0,0.515,,+-0.7,+-1,,
277.7,25.0,0.515,,+-0.7,+-1,,
276.0,15.0,0.515,,+-0.7,+-1,,
275.2,8.0,0.515,,+-0.7,+-1,,
275.6,4.0,0.515,,+-0.7,+-1,,
278.8,2.7,0.515,,+-0.7,+-1,,
287.7,3.2,0.515,,+-0.7,+-1,,
300.0,4.0,0.515,,+-0.7,+-1,,
313.0,5.0,0.515,,+-0.7,+-1,,
328.8,6.2,0.515,,+-0.7,+-1,,
