"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
25,0.01269,0.0,0.0,+- 0.01,0.0001,,
25,0.1477,0.0773,0.9101,+- 0.01,0.0001,,
25,0.2321,0.1367,0.9435,+- 0.01,0.0001,,
25,0.3538,0.2231,0.9632,+- 0.01,0.0001,,
25,0.466,0.3161,0.9746,+- 0.01,0.0001,,
25,0.569,0.4252,0.9801,+- 0.01,0.0001,,
25,0.6827,0.5379,0.9852,+- 0.01,0.0001,,
25,0.787,0.6432,0.989,+- 0.01,0.0001,,
25,0.883,0.7444,0.9917,+- 0.01,0.0001,,
25,0.9523,0.8265,0.994,+- 0.01,0.0001,,
25,1.0428,0.9073,0.9966,+- 0.01,0.0001,,
25,1.0948,0.9509,0.9981,+- 0.01,0.0001,,
25,1.1566,1.0,1.0,+- 0.01,0.0001,,
