"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
338.15,16.6,0.0,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,21.41,0.0395,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,22.18,0.047,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,26.0,0.0942,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,27.88,0.1226,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,30.57,0.1716,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,32.04,0.2095,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,33.56,0.2688,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,33.93,0.2813,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,34.54,0.3148,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,35.3,0.4332,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,35.5,0.4995,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,35.53,0.5175,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,35.6,0.536,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,35.65,0.604,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,35.73,0.6373,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,35.74,0.647,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,35.82,0.691,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,35.64,0.8245,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,34.9,0.8865,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,32.72,0.9456,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,27.04,0.9905,,+-0.05,0.05,+-0.0005,+-0.0005
338.15,24.68,1.0,,+-0.05,0.05,+-0.0005,+-0.0005
