"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
358.15,0.1045,0.0,0.0,+-0.01,+-0.001,+-0.001,+-0.001
358.25,0.132,0.012,0.199,+-0.01,+-0.001,+-0.001,+-0.001
358.29,0.153,0.019,0.255,+-0.01,+-0.001,+-0.001,+-0.001
358.22,0.216,0.06,0.512,+-0.01,+-0.001,+-0.001,+-0.001
358.27,0.234,0.074,0.564,+-0.01,+-0.001,+-0.001,+-0.001
358.17,0.271,0.102,0.633,+-0.01,+-0.001,+-0.001,+-0.001
358.15,0.302,0.131,0.68,+-0.01,+-0.001,+-0.001,+-0.001
358.19,0.361,0.189,0.746,+-0.01,+-0.001,+-0.001,+-0.001
358.25,0.384,0.222,0.771,+-0.01,+-0.001,+-0.001,+-0.001
358.25,0.408,0.251,0.787,+-0.01,+-0.001,+-0.001,+-0.001
358.24,0.431,0.287,0.797,+-0.01,+-0.001,+-0.001,+-0.001
358.18,0.545,0.595,0.87,+-0.01,+-0.001,+-0.001,+-0.001
358.17,0.563,0.665,0.88,+-0.01,+-0.001,+-0.001,+-0.001
358.18,0.575,0.713,0.894,+-0.01,+-0.001,+-0.001,+-0.001
358.16,0.589,0.77,0.903,+-0.01,+-0.001,+-0.001,+-0.001
358.16,0.599,0.821,0.914,+-0.01,+-0.001,+-0.001,+-0.001
358.18,0.612,0.878,0.938,+-0.01,+-0.001,+-0.001,+-0.001
358.15,0.625,0.911,0.947,+-0.01,+-0.001,+-0.001,+-0.001
358.15,0.6355,1.0,1.0,+-0.01,+-0.001,+-0.001,+-0.001
368.15,0.1555,0.0,0.0,+-0.01,+-0.001,+-0.001,+-0.001
368.2,0.187,0.01,0.17,+-0.01,+-0.001,+-0.001,+-0.001
368.2,0.201,0.016,0.228,+-0.01,+-0.001,+-0.001,+-0.001
368.17,0.325,0.068,0.533,+-0.01,+-0.001,+-0.001,+-0.001
368.21,0.375,0.096,0.603,+-0.01,+-0.001,+-0.001,+-0.001
368.26,0.418,0.117,0.644,+-0.01,+-0.001,+-0.001,+-0.001
368.26,0.5,0.178,0.722,+-0.01,+-0.001,+-0.001,+-0.001
368.19,0.547,0.213,0.744,+-0.01,+-0.001,+-0.001,+-0.001
368.2,0.577,0.244,0.766,+-0.01,+-0.001,+-0.001,+-0.001
368.17,0.616,0.281,0.791,+-0.01,+-0.001,+-0.001,+-0.001
368.2,0.663,0.332,0.805,+-0.01,+-0.001,+-0.001,+-0.001
368.3,0.703,0.401,0.831,+-0.01,+-0.001,+-0.001,+-0.001
368.2,0.731,0.45,0.837,+-0.01,+-0.001,+-0.001,+-0.001
368.25,0.763,0.507,0.849,+-0.01,+-0.001,+-0.001,+-0.001
368.17,0.797,0.591,0.863,+-0.01,+-0.001,+-0.001,+-0.001
368.18,0.832,0.664,0.882,+-0.01,+-0.001,+-0.001,+-0.001
368.21,0.847,0.709,0.897,+-0.01,+-0.001,+-0.001,+-0.001
368.18,0.866,0.76,0.906,+-0.01,+-0.001,+-0.001,+-0.001
368.16,0.885,0.811,0.914,+-0.01,+-0.001,+-0.001,+-0.001
368.15,0.905,0.867,0.93,+-0.01,+-0.001,+-0.001,+-0.001
368.15,0.9455,1.0,1.0,+-0.01,+-0.001,+-0.001,+-0.001
