"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
93,2.418,0.2107,0.9921,+-0.1,+-0.25%,,
93,4.059,0.2056,0.9927,+-0.1,+-0.25%,,
93,6.772,0.2948,,+-0.1,+-0.25%,,
93,6.148,0.32,0.994,+-0.1,+-0.25%,,
93,7.26,0.3766,0.9939,+-0.1,+-0.25%,,
93,7.868,0.3954,,+-0.1,+-0.25%,,
93,8.06,0.4193,0.9937,+-0.1,+-0.25%,,
93,9.387,0.4786,,+-0.1,+-0.25%,,
93,9.487,0.4933,0.9906,+-0.1,+-0.25%,,
93,11.211,0.5677,,+-0.1,+-0.25%,,
93,11.323,0.5881,0.994,+-0.1,+-0.25%,,
93,12.889,0.6606,,+-0.1,+-0.25%,,
93,12.923,0.6771,0.9761,+-0.1,+-0.25%,,
93,14.701,0.7827,,+-0.1,+-0.25%,,
93,14.954,0.801,,+-0.1,+-0.25%,,
93,14.925,0.8197,0.9565,+-0.1,+-0.25%,,
