"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
100,192.43,1.0,,+-0.05,+-0.05,,
100,253.73,0.9559,,+-0.05,+-0.05,,
100,316.74,0.9034,,+-0.05,+-0.05,,
100,415.55,0.8062,,+-0.05,+-0.05,,
100,496.83,0.7049,,+-0.05,+-0.05,,
100,569.51,0.5849,,+-0.05,+-0.05,,
100,573.3,0.5778,,+-0.05,+-0.05,,
100,621.15,0.4618,,+-0.05,+-0.05,,
100,630.8,0.4543,,+-0.05,+-0.05,,
100,660.72,0.3516,,+-0.05,+-0.05,,
100,696.51,0.2213,,+-0.05,+-0.05,,
100,717.54,0.1131,,+-0.05,+-0.05,,
100,722.71,0.0475,,+-0.05,+-0.05,,
100,720.64,0.0,,+-0.05,+-0.05,,
