"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
117.7,760,0.0,0.0,+-0.05,1,+-0.1%,+-0.1%
116.05,760,0.028,0.075,+-0.05,1,+-0.1%,+-0.1%
112.9,760,0.096,0.221,+-0.05,1,+-0.1%,+-0.1%
110.5,760,0.165,0.321,+-0.05,1,+-0.1%,+-0.1%
109.0,760,0.227,0.399,+-0.05,1,+-0.1%,+-0.1%
107.6,760,0.318,0.487,+-0.05,1,+-0.1%,+-0.1%
106.4,760,0.415,0.554,+-0.05,1,+-0.1%,+-0.1%
106.0,760,0.487,0.595,+-0.05,1,+-0.1%,+-0.1%
105.8,760,0.532,0.617,+-0.05,1,+-0.1%,+-0.1%
105.7,760,0.558,0.627,+-0.05,1,+-0.1%,+-0.1%
105.6,760,0.614,0.653,+-0.05,1,+-0.1%,+-0.1%
105.5,760,0.668,0.675,+-0.05,1,+-0.1%,+-0.1%
105.5,760,0.675,0.676,+-0.05,1,+-0.1%,+-0.1%
105.5,760,0.701,0.687,+-0.05,1,+-0.1%,+-0.1%
105.6,760,0.766,0.72,+-0.05,1,+-0.1%,+-0.1%
106.3,760,0.859,0.784,+-0.05,1,+-0.1%,+-0.1%
106.5,760,0.871,0.794,+-0.05,1,+-0.1%,+-0.1%
108.1,760,0.948,0.894,+-0.05,1,+-0.1%,+-0.1%
110.6,760,1.0,1.0,+-0.05,1,+-0.1%,+-0.1%
