"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
343.15,73.49,0.0,0.0,+-0.01,+-0.013,,
343.15,75.17,0.0307,0.0507,+-0.01,+-0.013,,
343.15,78.02,0.0859,0.1311,+-0.01,+-0.013,,
343.15,80.31,0.1353,0.202,+-0.01,+-0.013,,
343.15,82.11,0.1775,0.2539,+-0.01,+-0.013,,
343.15,84.15,0.2287,0.3136,+-0.01,+-0.013,,
343.15,84.31,0.2327,0.3172,+-0.01,+-0.013,,
343.15,86.42,0.2875,0.378,+-0.01,+-0.013,,
343.15,88.4,0.3435,0.4343,+-0.01,+-0.013,,
343.15,90.72,0.4137,0.5026,+-0.01,+-0.013,,
343.15,92.76,0.4784,0.5646,+-0.01,+-0.013,,
343.15,94.27,0.5302,0.6117,+-0.01,+-0.013,,
343.15,95.32,0.5654,0.6449,+-0.01,+-0.013,,
343.15,97.16,0.6293,0.6972,+-0.01,+-0.013,,
343.15,98.19,0.6719,0.7323,+-0.01,+-0.013,,
343.15,106.58,1.0,1.0,+-0.01,+-0.013,,
