"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
56.9,14.7,0.95,0.972,+-0.3,,,
57.9,14.7,0.891,0.942,+-0.3,,,
58.9,14.7,0.817,0.903,+-0.3,,,
60.0,14.7,0.738,0.857,+-0.3,,,
60.3,14.7,0.727,0.84,+-0.3,,,
61.0,14.7,0.686,0.817,+-0.3,,,
61.1,14.7,0.676,0.817,+-0.3,,,
62.1,14.7,0.62,0.775,+-0.3,,,
64.1,14.7,0.544,0.715,+-0.3,,,
65.1,14.7,0.51,0.657,+-0.3,,,
67.0,14.7,0.45,0.64,+-0.3,,,
69.0,14.7,0.373,0.571,+-0.3,,,
71.4,14.7,0.245,0.437,+-0.3,,,
74.2,14.7,0.153,0.29,+-0.3,,,
76.6,14.7,0.081,0.153,+-0.3,,,
78.5,14.7,0.026,0.05,+-0.3,,,
