"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
-100.05,22.38,0.0,0.0,+-0.02,+-0.01,0.3%,0.3%
-100.05,25.24,0.0485,0.1416,+-0.02,+-0.01,0.3%,0.3%
-100.05,26.67,0.0868,0.2074,+-0.02,+-0.01,0.3%,0.3%
-100.05,28.33,0.1472,0.2909,+-0.02,+-0.01,0.3%,0.3%
-100.05,29.65,0.2126,0.343,+-0.02,+-0.01,0.3%,0.3%
-100.05,30.18,0.2507,0.376,+-0.02,+-0.01,0.3%,0.3%
-100.05,30.51,0.2873,0.396,+-0.02,+-0.01,0.3%,0.3%
-100.05,31.1,0.412,0.482,+-0.02,+-0.01,0.3%,0.3%
-100.05,31.31,0.538,0.535,+-0.02,+-0.01,0.3%,0.3%
-100.05,31.3,0.565,0.548,+-0.02,+-0.01,0.3%,0.3%
-100.05,31.3,0.564,0.55,+-0.02,+-0.01,0.3%,0.3%
-100.05,31.08,0.635,0.58,+-0.02,+-0.01,0.3%,0.3%
-100.05,30.99,0.657,0.591,+-0.02,+-0.01,0.3%,0.3%
-100.05,30.89,0.6675,0.599,+-0.02,+-0.01,0.3%,0.3%
-100.05,30.5,0.7544,0.646,+-0.02,+-0.01,0.3%,0.3%
-100.05,30.11,0.7839,0.6733,+-0.02,+-0.01,0.3%,0.3%
-100.05,29.84,0.8148,0.6912,+-0.02,+-0.01,0.3%,0.3%
-100.05,29.03,0.8538,0.7392,+-0.02,+-0.01,0.3%,0.3%
-100.05,27.58,0.9118,0.8121,+-0.02,+-0.01,0.3%,0.3%
-100.05,25.15,0.9747,0.9252,+-0.02,+-0.01,0.3%,0.3%
-100.05,23.8,1.0,1.0,+-0.02,+-0.01,0.3%,0.3%
