"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
426.39,1.485,0.151,,+-0.05,+-0.01,0.001,
435.78,1.835,0.151,,+-0.05,+-0.01,0.001,
445.92,2.275,0.151,,+-0.05,+-0.01,0.001,
455.77,2.777,0.151,,+-0.05,+-0.01,0.001,
465.92,3.377,0.151,,+-0.05,+-0.01,0.001,
477.31,4.162,0.151,,+-0.05,+-0.01,0.001,
484.83,4.777,0.151,,+-0.05,+-0.01,0.001,
496.37,5.742,0.151,,+-0.05,+-0.01,0.001,
503.89,6.451,0.151,,+-0.05,+-0.01,0.001,
509.14,6.966,0.151,,+-0.05,+-0.01,0.001,
510.59,7.073,0.151,,+-0.05,+-0.01,0.001,
511.4,7.09,0.151,,+-0.05,+-0.01,0.001,
