"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
473.15,4880,0.0495,0.3452,+-0.01,0.0003,+-0.001,+-0.001
473.15,5760,0.0695,0.4095,+-0.01,0.0003,+-0.001,+-0.001
473.15,7000,0.0955,0.4748,+-0.01,0.0003,+-0.001,+-0.001
473.15,7970,0.1194,0.5075,+-0.01,0.0003,+-0.001,+-0.001
473.15,9090,0.1439,0.5279,+-0.01,0.0003,+-0.001,+-0.001
473.15,9950,0.1732,0.5425,+-0.01,0.0003,+-0.001,+-0.001
473.15,11050,0.2001,0.55,+-0.01,0.0003,+-0.001,+-0.001
473.15,11960,0.2272,0.5499,+-0.01,0.0003,+-0.001,+-0.001
473.15,12940,0.2629,0.5422,+-0.01,0.0003,+-0.001,+-0.001
473.15,13950,0.3091,0.5158,+-0.01,0.0003,+-0.001,+-0.001
473.15,14240,0.3288,0.5063,+-0.01,0.0003,+-0.001,+-0.001
473.15,14500,0.349,0.4876,+-0.01,0.0003,+-0.001,+-0.001
