"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
50.0,161.0,0.0,0.0,+-0.05,+-0.1,2%,2%
50.0,171.0,0.02,0.062,+-0.05,+-0.1,2%,2%
50.0,198.0,0.081,0.215,+-0.05,+-0.1,2%,2%
50.0,217.1,0.12,0.294,+-0.05,+-0.1,2%,2%
50.0,244.6,0.186,0.414,+-0.05,+-0.1,2%,2%
50.0,290.3,0.286,0.543,+-0.05,+-0.1,2%,2%
50.0,348.5,0.418,0.656,+-0.05,+-0.1,2%,2%
50.0,387.6,0.483,0.721,+-0.05,+-0.1,2%,2%
50.0,438.4,0.583,0.789,+-0.05,+-0.1,2%,2%
50.0,503.9,0.719,0.863,+-0.05,+-0.1,2%,2%
50.0,553.0,0.814,0.91,+-0.05,+-0.1,2%,2%
50.0,592.2,0.893,0.948,+-0.05,+-0.1,2%,2%
50.0,624.4,0.949,0.9751,+-0.05,+-0.1,2%,2%
50.0,651.6,1.0,1.0,+-0.05,+-0.1,2%,2%
