"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
350,11.7,0.0,0.0,,,,
350,20.5,0.037,0.369,,,,
350,35.1,0.102,0.573,,,,
350,35.2,,0.567,,,,
350,49.2,0.162,0.673,,,,
350,49.4,,0.672,,,,
350,62.4,0.213,0.729,,,,
350,75.9,0.275,0.759,,,,
350,89.1,0.326,0.782,,,,
350,103.3,0.401,0.798,,,,
350,111.0,0.429,,,,,
350,117.2,,0.807,,,,
350,124.7,0.492,,,,,
350,128.4,,0.808,,,,
350,129.6,,0.809,,,,
350,130.2,,0.808,,,,
350,136.5,,0.803,,,,
350,137.6,,0.802,,,,
350,139.7,0.59,0.802,,,,
350,145.1,0.635,0.794,,,,
350,145.6,,0.789,,,,
350,163.1,1.0,1.0,,,,
350,169.9,,0.956,,,,
350,174.8,0.972,0.939,,,,
350,176.5,0.965,0.929,,,,
