"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
343.26,105.2,0.0,0.0,0.02,+-1%,+-1%,+-1%
343.26,125.5,0.0956,0.226,0.02,+-1%,+-1%,+-1%
343.26,140.2,0.21,0.383,0.02,+-1%,+-1%,+-1%
343.26,147.6,0.286,0.457,0.02,+-1%,+-1%,+-1%
343.26,158.6,0.39,0.537,0.02,+-1%,+-1%,+-1%
343.26,164.1,0.498,0.603,0.02,+-1%,+-1%,+-1%
343.26,168.2,0.601,0.66,0.02,+-1%,+-1%,+-1%
343.26,168.7,0.704,0.722,0.02,+-1%,+-1%,+-1%
343.26,168.6,0.802,0.791,0.02,+-1%,+-1%,+-1%
343.26,164.8,0.908,0.881,0.02,+-1%,+-1%,+-1%
343.26,159.2,1.0,1.0,0.02,+-1%,+-1%,+-1%
